can_nam,can_off,can_off_sta,can_par_aff,can_inc_cha_ope_sea,ind_ite_con,ind_uni_con,ind_con,par_com_con,oth_com_con,tot_con,tot_rec,ope_exp,tot_con_ref,oth_dis,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,net_con,net_ope_exp,winner
"MCKELLAR, SHIRLEY JONETTA  DR",H,TX,DEM,CHALLENGER,9985,3373.34,13358.34,,,13358.34,13358.34,12542.46,,,12542.46,71.43,310.41,13358.34,12542.46,
"MCKELLAR, SHIRLEY JONETTA DR",H,TX,DEM,CHALLENGER,9985,3373.34,13358.34,,,13358.34,13358.34,12542.46,,,12542.46,71.43,310.41,13358.34,12542.46,
"MCKELVEY, JAMES K",H,VA,REP,OPEN,7800,2035,9835,,,25515.04,525515.04,264586.64,,,498906.6,,245248.36,25515.04,264586.64,
"MCKINLAY, MELISSA",H,FL,DEM,OPEN,294413,11050,305463,,17500,322963,322963,147292.21,172898.72,445,320635.93,,2327.07,150064.28,147292.21,
"MCKINLEY, DAVID B. MR.",H,WV,REP,INCUMBENT,300785,10932.03,311717.03,600,738517.01,1050834.04,1050834.04,618806.26,400,288000,907206.26,422412.64,566040.42,1050434.04,618806.26,Y
"MCLAUGHLIN, NATHANIEL WELTON JR",H,KS,DEM,CHALLENGER,,,570,,,2724,18639,15790,50,,18590,,49,2674,18090,
"MCMASTERS, THOMAS",H,OH,UN,CHALLENGER,,,,,,13635.36,13635.36,13635.36,,,13635.36,,,13635.36,13635.36,
"MCMICHAEL, CRAIG",H,TX,REP,CHALLENGER,5475,1917.49,7392.49,,,7392.49,7392.49,7435.81,,,7435.81,680.65,637.33,7392.49,7435.81,
"MCMORRIS RODGERS, CATHY",H,WA,REP,INCUMBENT,863552,252924,1116476,,1365706,2482182,2997876,2857286,20380,118105,2995771,182754,184859,2461802,2852362,Y
"MCMULLIN, EVAN / MINDY FINN",P,US,IND,OPEN,340024,692734,1032757.87,,,1032757.87,1035469.04,784176.18,1682,,785858.18,,249610.86,1851267.08,1552712.59,
"MCNEIL, JOHN P",H,NC,DEM,CHALLENGER,31320.19,18152.55,49472.74,1499,1000,54542.42,73876.42,69770.54,,,69770.54,,4105.88,54542.42,69770.54,
"MCNERNEY, JERRY",H,CA,DEM,INCUMBENT,601106,89202.2,690308.2,132.12,453674.56,1144114.88,1146216.46,974570.98,1100,9925,985595.98,147013.31,307633.79,1143014.88,972594.74,Y
"MCNULTY, TERRY J MR.",H,WI,REP,OPEN,6470.62,3492.06,9962.68,,,10244.17,11708.17,12975.67,,,12975.67,,-1267.5,10244.17,12975.67,
"MCSALLY, MARTHA E. MS.",H,AZ,REP,INCUMBENT,3134261.94,2209876.81,5344138.75,,1288759.56,6632898.31,7059681.54,5846633.1,122321.4,209925,6178879.5,468505.92,1349307.96,6510576.91,5790730.08,Y
"MCTEAGUE, DAVE",H,OR,DEM,CHALLENGER,6593.23,13066.19,19659.42,,4500,30556.88,45056.88,66962.85,,,70712.85,,-25655.97,30556.88,66962.85,
"MEADOWS, MARK R",H,NC,REP,INCUMBENT,218559.38,106028.86,324588.24,,255417.08,580005.32,583256.41,390633.64,1250,30879.8,530763.44,174406.45,226899.42,578755.32,387382.55,Y
"MEEHAN, PATRICK L. MR.",H,PA,REP,INCUMBENT,795052.52,20058,815110.52,1150,1482552.01,2298812.53,2322452.27,1522566.06,4609.32,265885,1793060.38,1671202.37,2200594.26,2294203.21,1510146.88,Y
"MEEKS, GREGORY W.",H,NY,DEM,INCUMBENT,199127.38,5580,204707.38,,702800,907507.38,911613.81,837932.25,,89305,927237.25,165427.26,149803.82,907507.38,835060.58,Y
"MEENA, JOHN ANTHONY",H,WY,UN,OPEN,,,,,,,,,,,,,,,,
"MELLON, ROB",H,IL,DEM,OPEN,20938,600,21538,,,21538,21538,19007,,,19007,,1265.5,21538,19007,
"MELLON, ROBERT",H,IL,DEM,OPEN,20938,600,21538,,,21538,21538,19007,,,19007,,1265.5,21538,19007,
"MELUSKEY, ALEXANDER",S,AZ,REP,CHALLENGER,73500,38675,112176,,,112176,886610,873589,14900,,888489,,-1878,97277,871427,
"MENCONI, ARNOLD MICHAEL",S,CO,GRE,CHALLENGER,11501,1826,13328,250,,14078,14278,13583,,,13583,,694,14078,13383,
"MENDOZA, MATTHEW JAMES",H,CA,REP,CHALLENGER,25,,,,,732,1464,673,,,1346,,57,732,673,
"MENG, GRACE",H,NY,DEM,INCUMBENT,767892.85,39609.58,807502.43,22.22,249250,1056774.65,1058729.12,481109.09,2500,216231.99,699841.08,639755.72,998643.76,1054274.65,480782.02,Y
"MENSING, DALE KENNETH",H,CA,REP,CHALLENGER,550,3348,3898,217,,4133,4587,3540,,177,4190,38,431,4115,3087,
"MERCADO, JUAN CARLOS",H,CA,DEM,CHALLENGER,,,,,,,8100,7344.03,,,7344.03,,755.97,,7344.03,
"MERCED, ALEX",S,NY,LIB,CHALLENGER,2704,9261,11965,,2000,13965,13965,11414,,,11414,,2550,13965,11414,
"MESPLAY, KENT PHILIP",P,US,GRE,OPEN,3747,,3527,,,3756,4608,4574,,,4574,46,79,,,
"MESSER, ALLEN LUCAS",H,IN,REP,INCUMBENT,551644.35,48017.24,599661.59,1000,1011029.49,1611691.08,1617580.8,852007.2,4854.3,140045,1264038.51,461480.82,815023.11,1606836.78,850117.48,Y
"MESSINA, PETER",P,US,REP,OPEN,,,,,,133,3942.93,1998.77,,3145,5143.77,,-2245.83,266,5955.29,
"METCALFE, MARGARET",H,GU,REP,CHALLENGER,1500,,1500,,,9293.49,9293.49,9342.49,,,9342.49,2287,2238,9293.49,9342.49,
"METCALFE, RAY HOMER",S,AK,DEM,CHALLENGER,6495,3417,9912,,,14046,17401,11558,500,153,12212,,5189,13546,11558,
"METTLER, KEN",H,CA,REP,CHALLENGER,12250,8152.03,20402.03,,990.6,21392.63,43818.89,42949.95,,68.94,43818.89,,,21392.63,40896.18,
"MICA, JOHN L. MR.",H,FL,REP,INCUMBENT,537075.79,85397.54,622473.33,,627028.19,1249501.52,1252469.24,1341760.88,11452.34,3030,1356243.22,270807.85,167033.87,1238049.18,1340584.73,
"MILLARD, CARL ANDREW",H,NC,DEM,CHALLENGER,199269.01,53079.91,252348.92,,1500,253848.92,380754.77,267103.13,500,2359.4,269962.53,,110723.18,253348.92,267103.13,
"MILLER, DARLENE",H,MN,REP,OPEN,309770.83,24978.87,334749.7,,77000,411749.7,431081.39,372358.47,55900,,428258.47,,2822.92,355849.7,369722.7,
"MILLER, JOSEPH W",S,AK,LIB,CHALLENGER,182356,73667,256023,4500,3500,272668,272790,97032,100,,97132,99725,275383,272568,97032,
"MILLER, RAYMOND MELVIN",P,US,REP,OPEN,,,,,,,,,,,,,,,,
"MILLER, ROBERT",H,CA,REP,CHALLENGER,5283,,5283,,,5283,10905.38,10815.38,,,10905.38,,,5283,10815.38,
"MILLS, JOHN",H,FL,REP,OPEN,250,130,380,,,380,7875.97,8576.29,,,8576.29,1223.45,523.13,380,8576.29,
"MILLS, JOHN JOHN",H,TN,REP,OPEN,250,130,380,,,380,7875.97,8576.29,,,8576.29,1223.45,523.13,380,8576.29,
"MILLS, MICHAEL P. JR",H,MS,REP,OPEN,85150,12950,98100,,1000,101600,181600,178100,500,,181600,,,101100,178100,
"MILLS, STEWART MR.",H,MN,REP,CHALLENGER,625195.59,309856.66,935052.25,10000,271150,1263458.94,3286485.13,3003528.87,750,,3193463.85,297.68,93318.96,1262708.94,3003266.49,
"MILLS, THOMAS M",H,NC,DEM,CHALLENGER,275501.94,72466.87,347968.81,,500,348468.81,349178.3,287377.07,700,1037.88,289114.95,,60063.35,347768.81,287167.58,
"MILNE, SCOTT",S,VT,REP,CHALLENGER,87797,,,,,113363,113363,57481,,,57481,,34399,100792,57481,
"MILSTEIN, LYLE",H,FL,NPA,CHALLENGER,,,,1,,,10400,9093,1305,,10398,,,,,
"MINIEAR, J D",H,IN,REP,CHALLENGER,550,1519,2069,,,2069,4477,4066,,,4476,,,2069,3758,
"MIRZA, ALI A",H,NY,DEM,CHALLENGER,58692,8994.24,67686.24,,,67686.24,67686.24,39407.6,,6111.44,45519.04,,22167.2,67686.24,39407.6,
"MITCHELL, MONTE MARK",H,TX,REP,CHALLENGER,5145,1955.05,7100.05,,,7438.8,27345.04,24753.62,,,24753.62,,2591.42,7438.8,24753.62,
"MITCHELL, PAUL III",H,MI,REP,OPEN,150273.44,18,150291.44,,150450,745418.45,3880048.12,3713703.51,300,25791.75,3739795.26,,140252.86,745118.45,3713321.25,Y
"MIX, RICHARD",H,GA,REP,OPEN,15000,2380,17380,,500,78380,78380,60801.47,,,60801.47,,-28572.23,78380,60801.47,
"MODICA, JULIEN",H,VA,DEM,CHALLENGER,,25,25,,,3025,550386.26,2018,,,2018,,548368.26,3025,2018,
"MOELLER, JAMES C",H,WA,DEM,CHALLENGER,45496.9,31840.06,77336.96,,26000,103336.96,103336.96,79676.01,,,79676.01,,23660.95,103336.96,79676.01,
"MOLESEVICH, MIKE",H,PA,DEM,CHALLENGER,24709.92,16311.23,41021.15,2250,,45859.14,48359.14,47309.15,,,47309.15,,-11770.46,45859.14,47309.15,
"MOLNAR, ROBERT",S,CA,REP,OPEN,,,,,,1000,1000,1000,,,2000,1000,,1000,1000,
"MONTES, JOSEPH",H,CA,REP,CHALLENGER,118550,6128,124678,,,124678,183682,177179.67,,2,181181.67,,2500.33,124678,177179.67,
"MOOLENAAR, JOHN",H,MI,REP,INCUMBENT,410539.1,28479.54,439018.64,2300,496805.42,938124.06,959446.52,618014.17,500,46107.99,664622.16,28050.56,322874.92,937624.06,616884.37,Y
"MOONEY, ALEXANDER XAVIER",H,WV,REP,INCUMBENT,590096.55,98968.14,689064.69,1899,464263.63,1155227.32,1165531.5,716414.32,200,82.07,762396.39,3886.15,407021.26,1155027.32,714310.14,Y
"MOONEY, PATRICK",H,FL,REP,CHALLENGER,172812,33788.66,206600.66,1000,30850,244698.96,444698.96,172320.91,67819.52,4000,444140.43,,558.53,176879.44,172320.91,
"MOORE, GWEN S",H,WI,DEM,INCUMBENT,180813.69,30697.02,211510.71,,726175,937685.71,943366.95,773856.62,1350,123276,898482.62,13673.49,58557.82,936335.71,768385.44,Y
"MOOREHEAD, MONICA GAIL",P,US,UNK,OPEN,3625,3557,7182,,,7182,11682,10943,,,10943,,737,,,
"MORAN, JEFF",H,FL,REP,OPEN,7300,3545,10845,,2500,15845,20845,19440.8,800,,20240.8,,604.2,15045,19440.8,
"MORAN, JERRY",S,KS,REP,INCUMBENT,1955416,112940,2068358,,2071996,4140355,4350125,3737477,48393,108000,3893870,1380214,1836469,4091962,3703639,Y
"MORGAN, DELINDA",H,OR,REP,CHALLENGER,465,,,,,465,465,741,,,741,,-276,,,
"MORGAN, YURIPZY",H,MD,REP,CHALLENGER,5200,1945,7145,,,7650,15150,8007.91,,,15150,,,7650,8007.91,
"MORRIS, GERALD A",H,CA,REP,CHALLENGER,,,,,,,,,,,,,,,,
"MORRISON, TERRANCE",H,MI,DEM,CHALLENGER,,200,200,,,200,10200,10200,,,10200,,-5170,200,10200,
"MORRISSEY, JOHN FRENCH MR.",P,US,REP,OPEN,,,,,,,,,,,,,,,,
"MORSE, NICHOLAS GRANT MR.",H,CO,REP,CHALLENGER,31350,13000.32,44350.32,5293,,164091.08,164091.08,155833.48,,,155833.48,,8257.6,164091.08,155833.48,
"MOSS, RICHARD MARC",H,IN,REP,CHALLENGER,22315,7940,30255,,,30255,58255,56640.12,,,56640.12,,1614.88,30255,56640.12,
"MOULTON, SETH",H,MA,DEM,INCUMBENT,1668370.72,134887.29,1803258.01,1108.66,670090,2474456.67,2507395.35,1127532.2,29971.38,202940,1360443.58,37298.93,1184250.7,2444485.29,1124402.23,Y
"MOWERY, TOD",H,FL,REP,OPEN,95681,2640.5,98321.5,,3000,101321.5,104265.51,25694.05,64821.46,12250,104265.51,,,36500.04,24250.04,
"MOWRER, JIM",H,IA,DEM,CHALLENGER,1216121.77,238394,1454515.77,,266840.29,1721356.06,1732023.05,1706488.81,10262.99,5675,1723776.8,4828.7,16074.95,1711093.07,1696671.82,
"MULLIN, MARKWAYNE MR.",H,OK,REP,INCUMBENT,520228,14106.62,534334.62,,910300,1444634.62,1541946.64,1221188.99,5100,86500,1385788.99,184153.98,340311.63,1439534.62,1216941.17,Y
"MULVANEY, JOHN MICHAEL 'MICK'",H,SC,REP,INCUMBENT,534385.99,10667.4,545053.39,,628520.02,1173573.41,1175146.83,792879.69,5200,18500,866579.69,203170.83,511737.97,1168373.41,791665.56,Y
"MUNDY, KEITH FRANCIS",H,OH,DEM,CHALLENGER,611,8520.75,9131.75,,3000,12131.75,12131.75,3840.97,,,3840.97,,8290.78,12131.75,3840.97,
"MUNROE, MASSIE BS MS PE",S,CA,DEM,OPEN,98,,98,,,98,11003.48,,,10904,,,98,98.72,,
"MURDOCK, BRETT",H,CA,DEM,CHALLENGER,23399,11999.99,35398.99,,20531.93,55930.92,58430.92,53020.25,,35,53055.25,,5375.67,55930.92,53020.25,
"MURKOWSKI, LISA",S,AK,REP,INCUMBENT,2232675,68352,2301226,,1711513,4012539,4153426,4508471,35850,282867,4827189,903629,996967,3976689,4501006,Y
"MUROFF, DANIEL",H,PA,DEM,CHALLENGER,259814,48564.29,308378.29,,18250,326779.23,389218.1,316447.68,21450,2750,389218.1,,,305329.23,314447.68,
"MURPHY, DENNIS B",H,MI,DEM,CHALLENGER,2000,3911.25,5911.25,8500,1000,15416.25,16390.78,13108.81,,,14033.34,,2357.44,15416.25,13058.81,
"MURPHY, PATRICK",H,IA,DEM,CHALLENGER,115258.92,90397.82,205656.74,,20848.38,231505.12,259095.85,249107.33,130,,259237.33,1334.83,1193.35,231375.12,231516.6,
"MURPHY, PATRICK E",S,FL,DEM,CHALLENGER,10019289,1723723,11743019,47766,1926712,13722407,14544204,13354488,39702,38346,13438036,536659,1642826,13682705,13324181,
"MURPHY, STEPHANIE",H,FL,DEM,CHALLENGER,405509.1,69486.73,474995.83,6000,279834.73,760830.56,777543.52,601835.23,1510,,603345.23,,174198.29,759320.56,601122.27,Y
"MURPHY, TIMOTHY",H,PA,REP,INCUMBENT,456547.3,14789.28,471336.58,,943357.99,1414694.57,1418374.02,866600.34,13900,118000,998500.34,818920.89,1238794.57,1400794.57,866211.66,Y
"MURPHY, WILLIAM JOHN",H,TX,REP,CHALLENGER,5490,1234.69,6724.69,,,6970,7183.15,7074.2,,108.95,7183.15,,,6970,7074.2,
"MURRAY, PATTY",S,WA,DEM,INCUMBENT,4986036,1076088,6062130,,2703516,8765650,9810053,5640160,80668,1376215,7097047,1914038,4627044,8684977,5329560,Y
"MUSANTE, MARCUS",H,CA,DEM,OPEN,34200,2570,36770,,,52739,47739,39054.94,,1640,39054.94,,4368,46084,25876,
"MYERS, GAR",S,CA,IND,OPEN,600,,600,,,600,600,599,,,599,,,600,599,
"MYERS, KIM",H,NY,DEM,OPEN,500658.41,77764.42,578422.83,6153.37,348282.09,940550.45,1485202.36,1239874.66,1625,,1246999.66,,238202.7,938925.45,1235222.75,
"MYHRA, PAMELA J",H,MN,REP,OPEN,15485,27892.83,43377.83,,2500,51650.38,52677.38,52174.01,,,52574.01,,103.37,51650.38,52147.01,
"NADLER, JERROLD L. MR.",H,NY,DEM,INCUMBENT,1038928,35050.68,1073978.68,,505320.03,1579298.71,1580144.28,973320.45,5000,179194.6,1157515.05,321502.57,744131.8,1574298.71,972474.88,Y
"NANCE, KATHRYN D",H,CA,REP,CHALLENGER,51856.05,12150.96,64007.01,,4599,68606.01,68709.37,68355.12,,254.25,68609.37,,100,68606.01,68351.76,
"NAPOLITANO, GRACE",H,CA,DEM,INCUMBENT,168431,9245.7,177676.7,,538678.3,716355,725811.69,773282.22,11625,23089.1,807996.32,251685.24,169500.61,704730,773282.22,Y
"NARVAIZ, SUSAN",H,TX,REP,CHALLENGER,82295,7016.83,89311.83,500,3950,110586.83,111849.51,103901.62,,,103901.62,185.67,8133.56,110586.83,103660.82,
"NATHAN, BRUCE",S,FL,IND,CHALLENGER,750,2221,2971,,,3116,17717,17150,,,17710,,4,3116,17150,
"NATIVIDAD, JERRY",S,CO,REP,CHALLENGER,14700,4216,18916,,1000,19916,170416,138411,3200,6500,163111,,7303,16716,138411,
"NAUGHTON, SHAUGHNESSY",H,PA,DEM,OPEN,1114077.87,329148.75,1443226.62,,30718,1473944.62,1474774.99,1370876.56,91487.01,,1475863.57,1088.58,,1382457.61,1370046.19,
"NAVARRO, OMAR",H,CA,REP,OPEN,2250,296,2546,,,2546,2546,2667.52,,,2667.52,352.56,231.04,2546,2667.52,
"NAZARINO, SCOTT",S,WA,REP,CHALLENGER,460,478,938,,,938,11174,10873,,,10873,40,133,938,10873,
"NEAL, RICHARD E MR.",H,MA,DEM,INCUMBENT,364381.79,42470,406851.79,,1229651.17,1636502.96,1660862.31,772259.34,,515295,1287554.34,2634607.48,3007915.45,1636502.96,772184.34,Y
"NEELD J, ROBERT M",H,FL,DEM,OPEN,2250,380,2630,,,2630,15130,13192.06,,,13192.06,,1937.94,2630,13192.06,
"NEGRON, REBECCA",H,FL,REP,OPEN,944574.41,38018.84,982593.25,,130700,1115993.25,1124377.46,950636.67,173300,75,1124011.67,,365.79,942693.25,947252.46,
"NEHLEN, PAUL III",H,WI,REP,CHALLENGER,575760.74,866291.7,1442052.44,7700,15872.53,1465724.97,1571255.25,1396690.56,6700,,1403390.56,,167864.69,1459024.97,1391460.28,
"NELSON, TOM",H,WI,DEM,OPEN,744092.95,320630.47,1064723.42,4997.62,356780.1,1426501.14,1495790.49,1322425.71,6780.56,,1329206.27,,166584.22,1419720.58,1253136.36,
"NEVILLE, TIMOTHY PATRICK",S,CO,REP,CHALLENGER,92837,135355,228194,,7520,266616,266883,258528,,,258528,,8355,266616,258528,
"NEWHOUSE, DAN",H,WA,REP,INCUMBENT,417849.23,68670.27,486519.5,,699687.98,1186207.48,1207493.81,878362.23,5200,9733.74,893295.97,24669.02,338866.86,1181007.48,876254.55,Y
"NEWLAND, K. ROSS",P,US,REP,OPEN,,150,150,,,642,642,218,,,218,100,524,872,551,
"NGUYEN, BAO QUOC",H,CA,DEM,OPEN,203362,44607.9,247969.9,,22600,270569.9,274805.81,224755.12,8900,3502.55,237157.67,,37648.14,261669.9,224755.12,
"NICKERSON, ZACHARY MICHAEL",H,PA,IND,CHALLENGER,,240,240,,,875.84,875.84,729.71,,,729.71,,146.13,875.84,729.71,
"NIGHTENHELSER, TODD ALAN",H,IN,DEM,OPEN,275.99,1623.19,1899.18,,37.23,2344.18,2364.18,715.83,,,715.83,,9.58,2344.18,715.83,
"NIKPOUR, NOELLE",H,FL,REP,OPEN,216155,4672,220827,,5000,225827,231827,180207.88,51000,,231207.88,,619.12,174827,180207.88,
"NOEM, KRISTI LYNN",H,SD,REP,INCUMBENT,936562.81,173345.64,1109908.45,750,1114637,2225295.45,2245926.4,1090103.9,7550,56110,1153763.9,802383.57,1894546.07,2217745.45,1082356.55,Y
"NOGALES-MOLINELLI, MARIANA",H,PR,PPT,OPEN,,1605,1605,,,2154.17,2154.17,1626.15,,,1626.15,,445.78,2154.17,1626.15,
"NOLAN, RICHARD M.",H,MN,DFL,INCUMBENT,827186.63,705393.04,1532579.67,5172.61,1033405.16,2571157.44,2574297.72,1867009.52,9697.75,5687,1882394.27,26663.37,718566.82,2561459.69,1863869.24,Y
"NOLAND, MICHAEL",H,IL,DEM,OPEN,191799.84,50164.22,241964.06,,69123,311087.06,311618.73,302721.41,,8897.32,311618.73,,,311087.06,302189.74,
"NORCROSS, DONALD W",H,NJ,DEM,INCUMBENT,1191899.56,18771.23,1210670.79,,817014.81,2027685.6,2279813.41,1853551.89,10,1200,2018985.66,25920.04,286747.79,2027675.6,1851705.17,Y
"NORRIS, CHARLES H",H,CO,DEM,CHALLENGER,4600,4992.88,9592.88,,,9691.68,13691.68,17715.94,,,17715.94,3470.35,-553.91,9691.68,17715.94,
"NORRIS, PHILLIP",H,AL,REP,CHALLENGER,,105,105,,,3605,3605.76,3550,55.31,0.45,3605.76,,,3549.69,3550,
"NORTON, ELEANOR HOLMES",H,DC,DEM,INCUMBENT,107218,2492,109710,,218500,328210,328580,256447.76,,151250,407697.76,220676.13,141558.37,328210,256077.76,Y
"NOVAK, DARIA IRENE",H,CT,REP,CHALLENGER,19546.62,13272.04,32818.66,1000,7227,42851.54,44187.58,43132.89,250,,43382.89,,804.69,42601.54,43132.89,
"NUNES, DEVIN G",H,CA,REP,INCUMBENT,479645.43,23869.01,503514.44,2500,1550764.4,2056778.84,2215312.83,740496.87,3700,484874.54,1229071.41,2086973.26,3073214.68,2053078.84,740196.87,Y
"NUNEZ, EVANGELINE MARTINEZ",H,AZ,REP,CHALLENGER,20580.2,1512,22092.2,,5000,29792.2,29801.3,19594.18,,,19594.18,,8707.12,29792.2,19585.08,
"OCEGUERA, JOHN",H,NV,DEM,CHALLENGER,201709.69,25162.9,226872.59,,8060,234932.59,335137.59,187092.59,48040,,335137.59,,,186892.59,186892.59,
"O'CONNOR, SHAWN PATRICK PATRICK",H,NH,IND,CHALLENGER,196434.88,58158.54,254593.42,,3500,258093.42,1596008.51,1033880.08,10850,36866.04,1581596.12,,14412.39,247243.42,1019414.99,
"O'HALLERAN, TOM",H,AZ,DEM,OPEN,789144.16,157708.78,946852.94,5000,388950,1349561.08,1349983.99,1172123.37,2805.33,355,1182158.7,,167825.29,1346755.75,1171700.46,Y
"OLIVA JR, PHIL",H,NY,REP,CHALLENGER,172268.9,19508.16,191777.06,,12420,204197.06,204197.91,169277.95,,,169277.95,,34919.96,204197.06,169277.95,
"OLIVERIO, PIERLUIGI",H,CA,DEM,CHALLENGER,,,,,,20,3052,3052,,,3052,,,,,
"OLREE, BROCK",H,AR,REP,CHALLENGER,129.06,319.04,448.1,,,2995.38,17995.97,17779.49,,0.59,17780.08,,215.89,2995.38,17779.49,
"OLSON, JUSTIN",H,AZ,REP,OPEN,42126.12,5924,48050.12,,4500,52575.12,153355.81,152209.84,200,,152409.84,,945.97,52375.12,151429.15,
"OLSON, PETER G.",H,TX,REP,INCUMBENT,530263.23,14217,544480.23,,905650.44,1450130.67,1466388.81,1073014.52,11400,87295.31,1171709.83,330544.29,625223.27,1438730.67,1058886.64,Y
"O'MALLEY, MARTIN JOSEPH",P,US,DEM,OPEN,4049467,524792,4574259.32,,115002.01,4689261.33,6358420.32,5687915.2,71377.44,650,6259942.64,,98477.68,50666474.29,57463215.84,
"O'MALLEY, THOMAS JOSEPH",H,MA,REP,CHALLENGER,6925.6,8776.05,15701.65,,,15701.65,22701.65,19362.98,,2269.61,21632.59,50,1119.06,15701.65,19362.98,
"ORCHULLI, JACK C",S,CT,REP,CHALLENGER,,,,,,,,,,,,,,,,
"O'REILLY, MICHAEL",H,NY,REP,CHALLENGER,21245,8538,29783,,,41638,41638,29464.41,,,29464.41,,12173.59,41638,29464.41,
"ORMAN, GREGORY JOHN",S,KS,IND,CHALLENGER,,,,,,88280,103441,104477,,,104477,1036,,88280,89316,
"O'ROURKE, ROBERT BETO",H,TX,DEM,INCUMBENT,303802.58,71744.2,375546.78,,,375546.78,375588.12,190222.91,4897.01,92370.78,287490.7,161828.61,249926.03,370649.77,190181.57,Y
"ORSWELL, JACK",H,CA,REP,CHALLENGER,140880,21338,162218,,5180,167398,187671,158741.81,,,159491.81,7082.34,35261.53,167398,158741.81,
"OSTRANDER, WILLIAM",H,CA,DEM,OPEN,41245.87,5988.06,47233.93,,,47733.93,76326,74584.35,188.62,,76326,,,47545.31,66993.45,
"OTTO, BILL MR.",H,MO,DEM,CHALLENGER,219830.95,100146.17,319977.12,,97450,417427.12,417589.12,315101.74,1452.75,,316554.49,,101034.63,415974.37,314939.74,
"OVERBY, PAULA MIRARE",H,MN,IDP,OPEN,1398,1018,2416,,,2416,2747.44,2247.28,,,2247.28,332.85,832.81,2416,2247.28,
"OWENS, H DOUGLAS",H,UT,DEM,CHALLENGER,1337778.64,307326.31,1645104.95,206.7,339761.28,1985072.93,1987930.58,1880094.98,15476,,1895570.98,,92359.6,1969596.93,1877240.39,
"PACE, JIM",H,GA,REP,OPEN,196184.92,9789,205973.92,,10700,280547.01,530547.01,524812.17,3950,,528762.17,,1784.84,276597.01,524812.17,
"PAINTER, HAROLD WALTON JR",H,MD,REP,CHALLENGER,,,,,,22075,22075,22075,,,22075,,,,22075,
"PAKOOTAS, JOSEPH A",H,WA,DEM,CHALLENGER,182653.13,105923.59,288576.72,,25714.36,314791.08,314791.08,284875.73,1760,,286635.73,13150.01,41300.36,313031.08,284875.73,
"PALACIOS, JUAN SONNY JR",H,TX,DEM,OPEN,177150,3860.98,181010.98,,5000,186010.98,474677.18,467071.34,11150,,478221.34,,-3544.16,174860.98,467030.14,
"PALAZZO, STEVEN MCCARTY",H,MS,REP,INCUMBENT,217750,10226.28,227976.28,,508600,736576.28,737293.1,370093.19,2500,,502593.19,58354.36,293054.27,734076.28,369376.37,Y
"PALLONE, FRANK JR",H,NJ,DEM,INCUMBENT,717664.65,17424.5,735089.15,1000,1484233.23,2220322.38,2226679.58,953085.46,3863.1,376993,1333941.56,504059.6,1396597.62,2216459.28,952300.46,Y
"PALMER, GARY",H,AL,REP,INCUMBENT,896800,11360.52,908160.52,,279264,1187424.52,1201956.4,465478.12,12350,132040.82,609868.94,189712.5,781799.96,1175074.52,451946.24,Y
"PALSSON, NILS",H,CA,DEM,CHALLENGER,7308,2932.59,10240.59,,,10240.59,10240.59,10240.59,,,10240.59,,,10240.59,10240.59,
"PALZER, THOMAS EDWARD",S,CA,REP,OPEN,14002,,1055,,,25588,25588,24203,200,,24103,,984,25488,24203,
"PANETTA, JAMES VARNI",H,CA,DEM,OPEN,912119.45,65962.1,978081.55,,291307.88,1269499.43,1269499.43,848419.93,1550,6350,856319.93,,281290.25,1267949.43,848419.93,Y
"PAPE, MICHAEL J",H,KY,REP,OPEN,389044,19310,408354,4000,11500,423854,425152.66,421891.88,3200,28.78,425120.66,,32,420654,421593.22,
"PAPPAS, GEORGE STEVE",H,FL,DEM,CHALLENGER,31270.84,11315,42585.84,,,43585.84,46647.34,42205.7,,4273.15,46478.85,,168.49,43585.84,42205.7,
"PARRA, DANIEL",H,CA,DEM,CHALLENGER,46617,9226.07,55843.07,,15300,71143.07,71152.83,69467.28,500,617.95,70585.23,,567.6,70643.07,69467.28,
"PARRISH, DON",H,TX,REP,OPEN,8300,100,8400,,,11525,52525,18046.63,,,52525,,,11525,18046.63,
"PARRISH, MICHAEL D",H,PA,DEM,CHALLENGER,267003.04,53112.02,320115.06,,38300,358415.06,394415.06,284068.17,,350,284418.17,947.91,113333.34,358415.06,284068.17,
"PASCRELL, WILLIAM J. HON.",H,NJ,DEM,INCUMBENT,714806.06,17021.13,731827.19,,876578.2,1608405.39,1609298.9,741491.82,4700,268510.34,1074702.16,961742.88,1496339.62,1603705.39,740704.28,Y
"PASICK, DAVID MATTHEW",H,NY,LIB,OPEN,,61,57,,,136,268.92,11,,,18.92,,125,136,11,
"PATAKI, GEORGE E",P,US,REP,OPEN,483856,26477,510332.35,,1000,511332.35,547267.55,531430.57,2700,1000,535130.57,,12136.98,1201043.16,978642.03,
"PATE, AVA",H,TX,REP,CHALLENGER,600,425,1025,,,4667.47,4667.47,4312.83,,,4312.83,,354.64,4667.47,4312.83,
"PATE, PAGE ANTHONY",S,GA,DEM,CHALLENGER,50,,50,,,110,110,110,,,110,,,110,110,
"PATEL, ABHAY",S,LA,REP,OPEN,228185,11831,240016,,5250,245266,403998,377215,19600,,396815,,7182,225666,371390,
"PATEL, RAVI B",H,IA,DEM,CHALLENGER,736302.38,10499.67,746802.05,,10000,765870.42,820983.42,261174.48,548045,,820983.42,,,217825.42,261174.48,
